02/Jan/2003,2
05/Jan/2003,1
22/Jan/2003,1
03/Feb/2003,1
05/Feb/2003,1
06/Feb/2003,1
07/Feb/2003,1
19/Feb/2003,1
20/Feb/2003,1
25/Feb/2003,1
26/Feb/2003,2
01/Mar/2003,1
02/Mar/2003,1
18/Mar/2003,2
20/Mar/2003,1
22/Mar/2003,1
23/Mar/2003,1
05/Apr/2003,1
06/Apr/2003,1
09/Apr/2003,2
10/Apr/2003,4413
11/Apr/2003,4580
12/Apr/2003,4429
13/Apr/2003,4066
14/Apr/2003,5647
15/Apr/2003,5605
16/Apr/2003,6008
17/Apr/2003,7901
18/Apr/2003,4282
19/Apr/2003,3645
20/Apr/2003,3594
21/Apr/2003,4845
22/Apr/2003,3405
23/Apr/2003,5415
24/Apr/2003,4801
25/Apr/2003,4511
26/Apr/2003,4059
27/Apr/2003,3927
28/Apr/2003,4461
29/Apr/2003,4387
30/Apr/2003,27887
01/May/2003,74152
02/May/2003,212061
03/May/2003,195991
04/May/2003,493811
05/May/2003,663669
06/May/2003,481400
07/May/2003,402824
08/May/2003,305292
09/May/2003,226204
10/May/2003,60183
11/May/2003,48689
12/May/2003,60337
13/May/2003,46334
14/May/2003,97936
15/May/2003,87096
16/May/2003,80175
17/May/2003,40255
18/May/2003,49365
19/May/2003,163070
20/May/2003,203916
21/May/2003,330583
22/May/2003,165550
23/May/2003,128320
24/May/2003,52609
25/May/2003,38112
26/May/2003,48579
27/May/2003,50736
28/May/2003,41342
29/May/2003,35408
30/May/2003,38768
31/May/2003,59149
01/Jun/2003,38470
02/Jun/2003,43181
03/Jun/2003,41126
04/Jun/2003,36741
05/Jun/2003,38662
06/Jun/2003,37639
07/Jun/2003,19989
08/Jun/2003,18703
09/Jun/2003,23562
10/Jun/2003,22435
11/Jun/2003,23072
12/Jun/2003,23632
13/Jun/2003,20023
14/Jun/2003,15535
15/Jun/2003,15400
16/Jun/2003,19643
17/Jun/2003,17136
18/Jun/2003,17752
19/Jun/2003,18337
20/Jun/2003,17253
21/Jun/2003,12963
22/Jun/2003,13702
23/Jun/2003,16379
24/Jun/2003,15156
25/Jun/2003,14881
26/Jun/2003,14340
27/Jun/2003,14008
28/Jun/2003,11066
29/Jun/2003,10485
30/Jun/2003,13352
01/Jul/2003,13492
02/Jul/2003,14180
03/Jul/2003,13345
04/Jul/2003,11590
05/Jul/2003,10738
06/Jul/2003,11306
07/Jul/2003,16075
08/Jul/2003,13195
09/Jul/2003,13213
10/Jul/2003,16537
11/Jul/2003,12827
12/Jul/2003,9881
13/Jul/2003,10067
14/Jul/2003,13696
15/Jul/2003,32201
16/Jul/2003,16184
17/Jul/2003,16402
18/Jul/2003,11179
19/Jul/2003,10172
20/Jul/2003,9477
21/Jul/2003,22347
22/Jul/2003,15847
23/Jul/2003,26114
24/Jul/2003,26818
25/Jul/2003,31176
26/Jul/2003,16447
27/Jul/2003,15974
28/Jul/2003,28448
29/Jul/2003,31473
30/Jul/2003,26877
31/Jul/2003,32350
01/Aug/2003,24673
02/Aug/2003,49365
03/Aug/2003,44623
04/Aug/2003,28265
05/Aug/2003,43381
06/Aug/2003,25763
